,Title,Author,Link,Bookshelf
225,Twas the Night before Christmas: A Visit from St. Nicholas,Clement Clarke Moore,http://www.gutenberg.org/ebooks/17135,Children's
226,The Tale of Peter Rabbit,Beatrix Potter,http://www.gutenberg.org/ebooks/14838,Children's
227,Struwwelpeter: Merry Stories and Funny Pictures,Heinrich Hoffmann,http://www.gutenberg.org/ebooks/12116,Children's
228,Children's Hour with Red Riding Hood and Other Stories,pseud. Watty Piper,http://www.gutenberg.org/ebooks/11592,Children's
229,The Little Red Hen,Florence White Williams,http://www.gutenberg.org/ebooks/18735,Children's
230,Favorite Fairy Tales,Logan Marshall,http://www.gutenberg.org/ebooks/20748,Children's
231,The Story of the Three Little Pigs,L. Leslie Brooke,http://www.gutenberg.org/ebooks/18155,Children's
232,Little Black Sambo,Helen Bannerman,http://www.gutenberg.org/ebooks/17824,Children's
233,The Tale of Benjamin Bunny,Beatrix Potter,http://www.gutenberg.org/ebooks/14407,Children's
234,The Tailor of Gloucester,Beatrix Potter,http://www.gutenberg.org/ebooks/14868,Children's
235,A Visit From Saint Nicholas,Clement Clarke Moore,http://www.gutenberg.org/ebooks/17382,Children's
236,Old Christmas: from the Sketch Book of Washington Irving,Washington Irving,http://www.gutenberg.org/ebooks/20656,Children's
237,Der Struwwelpeter,Heinrich Hoffmann,http://www.gutenberg.org/ebooks/24571,Children's
238,The Tale of Squirrel Nutkin,Beatrix Potter,http://www.gutenberg.org/ebooks/14872,Children's
239,Household Stories,the Brothers Grimm Jacob Grimm and Wilhelm Grimm,http://www.gutenberg.org/ebooks/19068,Children's
240,The Tale of Tom Kitten,Beatrix Potter,http://www.gutenberg.org/ebooks/14837,Children's
241,The Tale of Johnny Town-Mouse,Beatrix Potter,http://www.gutenberg.org/ebooks/15284,Children's
242,The Real Mother Goose,Blanche Fisher Wright,http://www.gutenberg.org/ebooks/10607,Children's
243,The Pied Piper of Hamelin,Robert Browning,http://www.gutenberg.org/ebooks/18343,Children's
244,Nonsense Books,Edward Lear,http://www.gutenberg.org/ebooks/13650,Children's
245,Max und Moritz: Eine Bubengeschichte in sieben Streichen,Wilhelm Busch,http://www.gutenberg.org/ebooks/17161,Children's
246,Uncle Remus and Brer Rabbit,Joel Chandler Harris,http://www.gutenberg.org/ebooks/22282,Children's
247,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,http://www.gutenberg.org/ebooks/15137,Children's
248,The Tales of Mother Goose,Charles Perrault,http://www.gutenberg.org/ebooks/17208,Children's
249,The Tale of Jemima Puddle-Duck,Beatrix Potter,http://www.gutenberg.org/ebooks/14814,Children's
250,The Railway Children,E. Nesbit,http://www.gutenberg.org/ebooks/1874,Children's
251,Five Children and It,E. Nesbit,http://www.gutenberg.org/ebooks/17314,Children's
252,The Story of the Treasure Seekers,E. Nesbit,http://www.gutenberg.org/ebooks/770,Children's
253,The Coral Island: A Tale of the Pacific Ocean,R. M. Ballantyne,http://www.gutenberg.org/ebooks/646,Children's
254,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",Jr. Horatio Alger,http://www.gutenberg.org/ebooks/5348,Children's
255,The Story of the Amulet,E. Nesbit,http://www.gutenberg.org/ebooks/837,Children's
256,A Little Book for Christmas,Cyrus Townsend Brady,http://www.gutenberg.org/ebooks/15343,Children's
257,The Magic Pudding,Norman Lindsay,http://www.gutenberg.org/ebooks/23625,Children's
258,The Flying Girl,L. Frank Baum,http://www.gutenberg.org/ebooks/53386,Children's
259,The Magic City,E. Nesbit,http://www.gutenberg.org/ebooks/20606,Children's
260,The Phoenix and the Carpet,E. Nesbit,http://www.gutenberg.org/ebooks/836,Children's
261,The Luckiest Girl in the School,Angela Brazil,http://www.gutenberg.org/ebooks/18019,Children's
262,The Enchanted Castle,E. Nesbit,http://www.gutenberg.org/ebooks/3536,Children's
263,In Freedom's Cause : A Story of Wallace and Bruce,G. A. Henty,http://www.gutenberg.org/ebooks/4792,Children's
264,The Coral Island,R. M. Ballantyne,http://www.gutenberg.org/ebooks/21721,Children's
265,"The Dragon and the Raven; Or, The Days of King Alfred",G. A. Henty,http://www.gutenberg.org/ebooks/3674,Children's
266,A Popular Schoolgirl,Angela Brazil,http://www.gutenberg.org/ebooks/18505,Children's
267,The Texan Scouts: A Story of the Alamo and Goliad,Joseph A. Altsheler,http://www.gutenberg.org/ebooks/15767,Children's
268,The Pirate City: An Algerine Tale,R. M. Ballantyne,http://www.gutenberg.org/ebooks/21692,Children's
269,Do and Dare — a Brave Boy's Fight for Fortune,Jr. Horatio Alger,http://www.gutenberg.org/ebooks/5747,Children's
270,For the Temple: A Tale of the Fall of Jerusalem,G. A. Henty,http://www.gutenberg.org/ebooks/21614,Children's
271,The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,E. Nesbit,http://www.gutenberg.org/ebooks/794,Children's
272,The Gorilla Hunters,R. M. Ballantyne,http://www.gutenberg.org/ebooks/21736,Children's
273,Ragged Dick,Jr. Horatio Alger,http://www.gutenberg.org/ebooks/20689,Children's
274,The Youngest Girl in the Fifth: A School Story,Angela Brazil,http://www.gutenberg.org/ebooks/21687,Children's
275,"Personal Memoirs of U. S. Grant, Complete",Ulysses S. Grant,http://www.gutenberg.org/ebooks/4367,Children's
276,The Underground Railroad,William Still,http://www.gutenberg.org/ebooks/15263,Children's
277,The Story of Mankind,Hendrik Willem Van Loon,http://www.gutenberg.org/ebooks/754,Children's
278,"The Journals of Lewis and Clark, 1804-1806",William Clark and Meriwether Lewis,http://www.gutenberg.org/ebooks/8419,Children's
279,Woman in the Nineteenth Century,Margaret Fuller,http://www.gutenberg.org/ebooks/8642,Children's
280,This Country of Ours,H. E. Marshall,http://www.gutenberg.org/ebooks/3761,Children's
281,History of the United States,Charles A. Beard and Mary Ritter Beard,http://www.gutenberg.org/ebooks/16960,Children's
282,A Child's History of England,Charles Dickens,http://www.gutenberg.org/ebooks/699,Children's
283,The Story of the Greeks,H. A. Guerber,http://www.gutenberg.org/ebooks/23495,Children's
284,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,Francis Parkman,http://www.gutenberg.org/ebooks/1015,Children's
285,Ancient Egypt,Arthur Gilman and George Rawlinson,http://www.gutenberg.org/ebooks/15663,Children's
286,The Anti-Slavery Alphabet,Anonymous,http://www.gutenberg.org/ebooks/16081,Children's
287,The Story of Geographical Discovery: How the World Became Known,Joseph Jacobs,http://www.gutenberg.org/ebooks/14291,Children's
288,History of the Philippine Islands,Antonio de Morga,http://www.gutenberg.org/ebooks/7001,Children's
289,History of the Plague in London,Daniel Defoe,http://www.gutenberg.org/ebooks/17221,Children's
290,Captains of the Civil War: A Chronicle of the Blue and the Gray,William Wood,http://www.gutenberg.org/ebooks/2649,Children's
291,The Beginner's American History,D. H. Montgomery,http://www.gutenberg.org/ebooks/18127,Children's
292,Freedom's Battle,Mahatma Gandhi,http://www.gutenberg.org/ebooks/10366,Children's
293,Sinking of the Titanic and Great Sea Disasters,Logan Marshall,http://www.gutenberg.org/ebooks/781,Children's
294,True Stories of History and Biography,Nathaniel Hawthorne,http://www.gutenberg.org/ebooks/15697,Children's
295,The Balkans: A History of Bulgaria—Serbia—Greece—Rumania—Turkey,Nevill Forbes et al.,http://www.gutenberg.org/ebooks/11716,Children's
296,Manual of Egyptian Archaeology and Guide to the Study of Antiquities in Egypt,,http://www.gutenberg.org/ebooks/14400,Children's
297,Early European History,Hutton Webster,http://www.gutenberg.org/ebooks/7960,Children's
298,Great Britain and the American Civil War,Ephraim Douglass Adams,http://www.gutenberg.org/ebooks/13789,Children's
299,Stories of Great Americans for Little Americans,Edward Eggleston,http://www.gutenberg.org/ebooks/10070,Children's
300,Dave Darrin's First Year at Annapolis,H. Irving Hancock,http://www.gutenberg.org/ebooks/12774,Children's
301,Five Little Peppers and How They Grew,Margaret Sidney,http://www.gutenberg.org/ebooks/2770,Children's
302,Uncle Wiggily's Adventures,Howard Roger Garis,http://www.gutenberg.org/ebooks/15281,Children's
303,Old Mother West Wind,Thornton W. Burgess,http://www.gutenberg.org/ebooks/2557,Children's
304,The Adventures of Reddy Fox,Thornton W. Burgess,http://www.gutenberg.org/ebooks/1825,Children's
305,The Adventures of Buster Bear,Thornton W. Burgess,http://www.gutenberg.org/ebooks/22816,Children's
306,Elsie Dinsmore,Martha Finley,http://www.gutenberg.org/ebooks/6440,Children's
307,The Adventures of Danny Meadow Mouse,Thornton W. Burgess,http://www.gutenberg.org/ebooks/25529,Children's
